Auction Date,Auction Name,Lot Title,Estimate Low,Estimate High,Description,Main Image URL,Artist Name
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Gem set and gold necklace, 'Gancio'","8,000","12,000",https://www.phillips.com/detail/bulgari/CH060424/313,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579155/auctions/CH060424/202323_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Ruby ring,"40,000","70,000",https://www.phillips.com/detail/CH060424/314,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579176/auctions/CH060424/206851_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond parure,"17,000","40,000",https://www.phillips.com/detail/CH060424/315,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659374/auctions/CH060424/210768_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond ring,"10,000","15,000",https://www.phillips.com/detail/CH060424/316,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579166/auctions/CH060424/206609_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Ruby and diamond parure,"60,000","100,000",https://www.phillips.com/detail/CH060424/317,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579160/auctions/CH060424/205328_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Gold, lapis lazuli and diamond parure","45,000","60,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/318,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579184/auctions/CH060424/207438_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond ring,"26,000","32,000",https://www.phillips.com/detail/CH060424/319,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1730309998/auctions/CH060424/210016_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Turquoise and diamond brooch,"14,000","22,000",https://www.phillips.com/detail/cartier/CH060424/320,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579209/auctions/CH060424/209702_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Gold and blue chalcedony sautoir, 'Vintage Alhambra'","6,500","9,500",https://www.phillips.com/detail/van-cleef-arpels/CH060424/321,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579180/auctions/CH060424/207448_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Mother-of-pearl and diamond brooch, 'Rose de Noël'","8,500","13,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/322,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579194/auctions/CH060424/209121_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Turquoise and diamond brooch, 'Rose de Noël', 2000s","10,000","15,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/323,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729087024/auctions/CH060424/209123_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of black mother-of-pearl and diamond ear clips, 'Rose de Noël'","10,000","15,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/324,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1729078112/auctions/CH060424/209120_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Black mother-of-pearl and diamond brooch, 'Rose de Noël', 2000s","8,500","13,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/325,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579196/auctions/CH060424/209122_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond ring,"26,000","32,000",https://www.phillips.com/detail/CH060424/326,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579223/auctions/CH060424/210763_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Pair of emerald and diamond ear clips,"30,000","38,000",https://www.phillips.com/detail/CH060424/327,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579179/auctions/CH060424/207067_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of diamond earrings, 1950s","6,500","8,500",https://www.phillips.com/detail/CH060424/328,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579159/auctions/CH060424/205021_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond brooch/bangle combination,"150,000","200,000",https://www.phillips.com/detail/monture-bulgari/CH060424/329,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579212/auctions/CH060424/209871_001.jpg,Monture Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Sapphire and diamond bracelet, 1950s","17,000","26,000",https://www.phillips.com/detail/CH060424/330,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579207/auctions/CH060424/209882_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Sapphire and diamond ring,"32,000","50,000",https://www.phillips.com/detail/CH060424/331,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659362/auctions/CH060424/210455_001.jpg,N/A
